"branded_food_category","avg_protein_g","avg_fat_g","avg_carbs_g","avg_calories","avg_sugar_g","total_products"
"Bacon","2.3","1.64","0.87","27.58","0.42","102"
"Snacks","0.38","1.17","4.28","26.91","0.93","127996"
"Cake, Cookie & Cupcake Mixes","0.47","0.46","5.11","26.24","2.36","200736"
"Baking/Cooking Mixes (Shelf Stable)","0.43","0.51","4.99","26.22","1.84","1057"
"Cakes, Cupcakes, Snack Cakes","0.28","1.22","3.59","26.07","2.22","522594"
"Bread & Muffin Mixes","0.69","0.3","5.08","26.07","0.86","65976"
"Digestive & Fiber Supplements","0.55","1.0","5.12","25.88","1.25","895"
"Antioxidant Supplements","1.28","0.26","4.87","25.63","0.96","104"
"Pancakes, Waffles, French Toast & Crepes","0.42","1.03","3.58","25.61","1.64","8924"
"Includes any products that can be described/observed as a quantity of perishable, pre-mixed dough, batter or powder or other ingredients that is specifically intended to produce bread, cakes, biscuits, desserts, or other products. Products may be ready to use (where no additional ingredients need to be added to the mix prior to use) or require the addition of wet ingredients such as water, milk, oil, fat or egg. These products must be refrigerated to extend their consumable life. Excludes products such as Soups, Frozen or Shelf-Stable Baking Mixes, all Part Baked and Baked Products.","0.77","0.32","4.92","25.57","1.41","70"
"Meat/Poultry/Other Animals Sausages – Prepared/Processed","1.22","2.36","0.18","25.45","0.05","1059"
"Seafood Miscellaneous","4.16","0.79","0.62","25.39","0.16","297"
"Gelatin, Gels, Pectins & Desserts","1.14","0.01","4.85","25.23","4.26","38737"
"Croissants, Sweet Rolls, Muffins & Other Pastries","0.35","1.09","3.57","25.02","1.72","169627"
"Herbs And Spices","1.35","1.09","4.4","24.98","1.61","65"
"Flours & Corn Meal","0.69","0.29","4.85","24.74","0.17","85213"
"Desserts (Frozen)","0.41","1.09","3.32","24.68","1.35","405"
"Prepared Meals","0.99","1.33","2.09","24.67","0.46","391"
"Specialty Formula Supplements","0.77","0.5","4.38","24.62","3.47","11482"
"Baking Additives & Extracts","0.63","1.3","2.85","24.57","1.05","41541"
"Crusts & Dough","0.39","0.98","3.53","24.41","1.21","88183"
