"branded_food_category","avg_protein_g","avg_fat_g","avg_carbs_g","avg_calories","avg_sugar_g","total_products"
"Canned Fruit","0.03","0.01","1.17","4.81","0.96","195825"
"Fruit & Vegetable Juice, Nectars & Fruit Drinks","0.04","0.01","1.16","4.73","1.01","455828"
"Pre-Packaged Fruit & Vegetables","0.15","0.14","0.74","4.62","0.33","357979"
"Canned Condensed Soup","0.13","0.17","0.64","4.58","0.13","61783"
"Prepared Soups","0.17","0.13","0.63","4.26","0.16","120232"
"Frozen Vegetables","0.2","0.05","0.75","4.25","0.22","276504"
"Herbs/Spices/Extracts","0.12","0.09","0.72","4.24","0.11","17361"
"Cakes - Sweet (Frozen)","0.23","0.3","1.17","4.13","0.25","4523"
"Fruits  Unprepared/Unprocessed (Frozen)","0.03","0.0","0.96","4.03","0.76","150"
"Vegetables - Prepared/Processed","0.22","0.07","0.87","4.01","0.2","36049"
"Fruits - Unprepared/Unprocessed (Frozen)","0.02","0.0","0.96","3.99","0.75","180"
"Drinks - Soft Drinks","0.01","0.01","0.92","3.82","0.91","73"
"Iced & Bottle Tea","0.01","0.01","0.92","3.81","0.85","81712"
"Drinks Flavoured - Ready to Drink","0.73","0.27","0.73","3.66","0.25","2958"
"Fruit - Prepared/Processed (Frozen)","0.04","0.01","0.81","3.63","0.62","60"
"Dairy/Egg Based Products / Meals","0.54","0.07","0.33","3.6","0.12","1250"
"Yogurt/Yogurt Substitutes (Perishable)","0.23","0.09","1.11","3.5","0.85","111"
"Coffee/Coffee Substitutes","0.04","0.04","0.67","3.49","0.44","593"
"Sports and Weight Management","0.37","0.09","0.24","3.37","0.16","105"
"Soups - Prepared (Shelf Stable)","0.15","0.09","0.44","3.12","0.08","642"
"Sport Drinks","0.07","0.03","0.64","3.07","0.56","32050"
"Vegetable Based Products / Meals - Not Ready to Eat (Frozen)","0.44","0.24","0.57","2.91","0.07","6927"
"Canned Soup","0.2","0.08","0.34","2.9","0.08","140649"
"Canned Vegetables","0.1","0.03","0.52","2.84","0.19","269381"
"Non Alcoholic Beverages  Ready to Drink","0.01","0.0","0.73","2.78","0.7","156719"
"Plant Based Water","0.01","0.02","0.62","2.72","0.53","37848"
"Vegetables – Prepared/Processed","0.24","0.06","0.9","2.6","0.21","2133"
"Tomatoes","0.1","0.01","0.49","2.49","0.3","185856"
"Non Alcoholic Beverages – Ready to Drink","0.02","0.0","0.52","2.1","0.48","8278"
"Fruit – Prepared/Processed","0.04","0.01","0.81","2.08","0.59","72"
"Vegetables - Unprepared/Unprocessed (Frozen)","0.12","0.05","0.72","1.98","0.24","176"
"Pickled Vegetables","0.0","0.0","0.24","1.2","0.0","59"
"Vinegars/Cooking Wines","0.0","0.0","0.44","1.11","0.3","90"
"Baby/Infant  Foods/Beverages","0.09","0.13","0.88","1.09","0.46","2456"
"Pickles/Relishes/Chutneys/Olives","0.0","0.0","0.27","1.08","0.17","7564"
"Non Alcoholic Beverages - Ready to Drink","0.02","0.01","0.21","0.95","0.18","47197"
"","0.5","0.66","2.14","0.9","1.0","150172"
"Water","0.01","0.0","0.14","0.59","0.11","173423"
"Tea and Infusions/Tisanes","0.0","0.0","0.08","0.31","0.08","1739"
"Peppers","0.0","0.0","0.0","0.0","0.0","177"
"Baby/Infant – Foods/Beverages","0.08","0.06","0.95","0.0","0.61","230"
